Zone,State,Scheme,Month,Visited Accounts,Allocated Accounts,Visit %,Outstanding Amount (Cr),Principal Outstanding (Cr),EMI Amount (Cr),Resolved Accounts
Pune Zone,Odisha,TL009,2023-07,345,471,73.25,96.73,78.9,1.58,287
Central,Bihar,TL009,2023-10,343,640,53.59,2.79,2.67,0.05,34
MMZO Zone,Rajasthan,TLU03,2023-05,455,886,51.35,59.68,40.84,0.82,51
West,Delhi,VL001,2023-12,465,791,58.79,7.0,4.67,0.09,30
MMZO Zone,West Bengal,TLU03,2023-02,145,186,77.96,48.45,31.39,0.63,86
Central,Rajasthan,UMGLP,2023-08,334,552,60.51,31.97,16.21,0.32,17
West,Odisha,TL009,2023-04,389,695,55.97,21.88,19.31,0.39,312
South,Unknown,CCMUD,2023-04,324,801,40.45,95.85,75.44,1.51,265
West,Jharkhand,TLP12,2023-06,409,650,62.92,31.61,28.84,0.58,206
East,Bihar,VL001,2023-06,423,570,74.21,31.78,22.44,0.45,289
West,Haryana,CCGEN,2023-12,11,335,3.28,98.25,49.32,0.99,3
Central,West Bengal,TLP12,2023-04,354,628,56.37,68.81,66.49,1.33,248
MMZO Zone,Unknown,VL001,2023-07,490,797,61.48,80.23,75.75,1.52,403
South,Punjab,TLU03,2023-01,109,132,82.58,9.76,7.93,0.16,74
North,Bihar,ODGEN,2023-07,224,367,61.04,62.73,51.98,1.04,150
West,Delhi,TLP12,2023-11,478,715,66.85,31.05,20.74,0.41,427
East,Bihar,UMGLP,2023-10,122,265,46.04,66.48,34.1,0.68,12
North,Haryana,TLP12,2023-12,62,484,12.81,99.35,68.92,1.38,21
Hyderabad,Haryana,VL001,2023-01,127,188,67.55,55.91,49.5,0.99,51
Hyderabad,Unknown,VL001,2023-02,104,188,55.32,82.74,52.96,1.06,97
MMZO Zone,West Bengal,UMGLP,2023-06,382,691,55.28,56.14,53.2,1.06,276
West,Jharkhand,VL001,2023-07,203,266,76.32,65.6,45.4,0.91,69
North,Delhi,CHOME,2023-12,263,432,60.88,86.72,53.24,1.06,66
Pune Zone,Delhi,TL009,2023-12,466,822,56.69,58.36,30.81,0.62,53
Central,Bihar,ODGEN,2023-09,92,496,18.55,22.7,22.23,0.44,87
South,Unknown,UMGLP,2023-06,393,755,52.05,98.59,56.9,1.14,257
Pune Zone,Delhi,TL009,2023-03,497,996,49.9,28.1,20.7,0.41,283
Pune Zone,Rajasthan,VL001,2023-02,293,378,77.51,90.27,88.84,1.78,3
Pune Zone,Punjab,CCMUD,2023-01,488,907,53.8,74.28,56.91,1.14,473
South,Odisha,TLP12,2023-11,142,360,39.44,30.34,26.41,0.53,138
North,Haryana,ODGEN,2023-05,412,669,61.58,9.52,8.65,0.17,52
East,West Bengal,LADEP,2023-01,132,468,28.21,18.05,12.18,0.24,117
West,Bihar,VL001,2023-10,382,661,57.79,9.0,6.62,0.13,324
Central,Punjab,UKKGL,2023-01,317,677,46.82,89.23,68.38,1.37,214
East,Odisha,TL009,2023-01,163,319,51.1,21.68,12.67,0.25,109
West,Rajasthan,UMGLP,2023-10,337,572,58.92,11.92,9.62,0.19,147
Hyderabad,Unknown,ODGEN,2023-04,393,460,85.43,40.4,34.13,0.68,347
West,Haryana,CCSUV,2023-04,307,554,55.42,8.7,6.09,0.12,261
East,West Bengal,CCSUV,2023-05,248,707,35.08,26.95,19.2,0.38,109
Pune Zone,Odisha,VL001,2023-03,334,716,46.65,56.25,45.36,0.91,0
MMZO Zone,Odisha,CCMUD,2023-03,389,515,75.53,82.29,62.47,1.25,380
East,Punjab,CCMUD,2023-08,214,304,70.39,34.92,33.57,0.67,18
Central,Jharkhand,CCMUD,2023-06,439,591,74.28,88.94,71.31,1.43,319
Pune Zone,Jharkhand,UMGLP,2023-02,57,399,14.29,26.53,22.1,0.44,3
East,Jharkhand,TLU03,2023-10,85,550,15.45,61.18,36.08,0.72,25
South,Punjab,UKKGL,2023-06,438,498,87.95,94.8,72.65,1.45,105
South,Odisha,UKKGL,2023-05,202,686,29.45,81.37,64.6,1.29,23
Pune Zone,Jharkhand,TL009,2023-03,354,632,56.01,23.22,13.22,0.26,272
South,Punjab,TLU03,2023-09,430,536,80.22,67.12,42.2,0.84,362
West,Rajasthan,TLP12,2023-10,118,609,19.38,21.47,16.53,0.33,67
Pune Zone,Rajasthan,CCGEN,2023-02,188,316,59.49,44.6,40.8,0.82,58
Hyderabad,Delhi,UKKGL,2023-08,469,698,67.19,64.73,50.4,1.01,407
MMZO Zone,West Bengal,TL009,2023-01,449,622,72.19,59.61,40.64,0.81,231
MMZO Zone,Bihar,VL001,2023-03,30,224,13.39,13.93,8.56,0.17,30
MMZO Zone,Punjab,CCGEN,2023-11,20,428,4.67,95.82,77.49,1.55,2
Central,Unknown,VL001,2023-08,482,905,53.26,55.58,34.61,0.69,80
North,Haryana,CCSUV,2023-04,260,669,38.86,41.61,38.2,0.76,32
Pune Zone,Punjab,TLP12,2023-01,321,817,39.29,71.2,39.92,0.8,269
Pune Zone,Unknown,CCGEN,2023-03,27,158,17.09,88.93,85.68,1.71,21
South,Haryana,CHOME,2023-03,78,247,31.58,38.6,29.45,0.59,44
East,Bihar,TL009,2023-08,40,142,28.17,24.35,23.62,0.47,30
South,Jharkhand,VL001,2023-06,42,177,23.73,3.48,2.66,0.05,26
Hyderabad,Unknown,LADEP,2023-05,266,515,51.65,99.71,56.89,1.14,7
East,Rajasthan,TL009,2023-08,129,518,24.9,12.55,8.77,0.18,83
Hyderabad,Rajasthan,CCMUD,2023-11,16,430,3.72,98.13,66.28,1.33,15
South,West Bengal,ODGEN,2023-05,163,366,44.54,28.8,24.24,0.48,48
Hyderabad,West Bengal,UKKGL,2023-05,232,590,39.32,67.19,51.55,1.03,107
North,West Bengal,CCSUV,2023-12,184,574,32.06,8.65,7.98,0.16,17
Hyderabad,Bihar,UMGLP,2023-07,327,509,64.24,37.36,26.48,0.53,77
Hyderabad,Rajasthan,TLU03,2023-05,90,397,22.67,83.83,63.95,1.28,0
East,Delhi,CCSUV,2023-06,26,145,17.93,88.98,56.06,1.12,12
East,Jharkhand,LADEP,2023-06,412,546,75.46,30.61,15.41,0.31,398
MMZO Zone,Rajasthan,VL001,2023-10,332,457,72.65,80.62,63.28,1.27,327
North,Bihar,TLP12,2023-04,472,623,75.76,83.08,44.39,0.89,68
Central,Delhi,UKKGL,2023-07,70,299,23.41,47.16,37.85,0.76,16
East,West Bengal,CCMUD,2023-10,34,314,10.83,77.13,58.65,1.17,6
North,Bihar,VL001,2023-04,214,667,32.08,61.63,53.81,1.08,176
North,Odisha,TLU03,2023-12,490,850,57.65,22.53,13.13,0.26,444
West,Odisha,ODGEN,2023-03,119,529,22.5,63.66,59.88,1.2,28
North,Rajasthan,VL001,2023-05,22,463,4.75,54.77,40.42,0.81,10
West,Odisha,UMGLP,2023-04,404,549,73.59,66.24,51.11,1.02,44
East,Punjab,CCSUV,2023-08,461,625,73.76,13.8,12.55,0.25,294
West,Odisha,TL009,2023-11,120,337,35.61,91.75,78.47,1.57,83
East,Jharkhand,CCMUD,2023-01,441,739,59.68,96.18,63.72,1.27,285
MMZO Zone,Punjab,UKKGL,2023-02,68,558,12.19,13.2,8.62,0.17,33
North,Rajasthan,TLU03,2023-04,73,500,14.6,64.58,47.6,0.95,49
North,Unknown,VL001,2023-11,419,902,46.45,88.2,88.11,1.76,125
Pune Zone,Punjab,UMGLP,2023-12,118,350,33.71,88.72,60.74,1.21,32
East,Delhi,LADEP,2023-04,238,648,36.73,87.66,75.26,1.51,115
MMZO Zone,Unknown,CCSUV,2023-10,404,705,57.3,47.77,47.1,0.94,306
West,Punjab,TLP12,2023-02,330,520,63.46,41.07,31.16,0.62,104
West,Punjab,CHOME,2023-09,496,666,74.47,93.5,87.51,1.75,134
Pune Zone,Haryana,UMGLP,2023-02,45,347,12.97,64.78,46.04,0.92,43
Hyderabad,Haryana,CCGEN,2023-03,168,297,56.57,79.04,72.58,1.45,150
Pune Zone,Delhi,ODGEN,2023-01,212,364,58.24,20.79,18.74,0.37,83
South,West Bengal,CCSUV,2023-07,318,438,72.6,6.67,5.54,0.11,239
North,Bihar,CCMUD,2023-08,1,34,2.94,14.69,7.4,0.15,1
Hyderabad,Jharkhand,ODGEN,2023-06,140,381,36.75,53.99,37.58,0.75,111
MMZO Zone,Rajasthan,CCSUV,2023-08,137,204,67.16,62.29,57.12,1.14,90
East,Odisha,CCGEN,2023-09,456,833,54.74,69.64,47.79,0.96,422
Central,Bihar,CCMUD,2023-07,413,647,63.83,4.92,4.0,0.08,171
MMZO Zone,Haryana,VL001,2023-04,437,857,50.99,74.23,62.91,1.26,107
South,Rajasthan,TLU03,2023-01,34,35,97.14,78.88,60.08,1.2,11
North,Bihar,TLP12,2023-01,319,376,84.84,66.71,62.14,1.24,116
South,Jharkhand,VL001,2023-06,495,905,54.7,36.27,22.76,0.46,28
Hyderabad,Rajasthan,CCSUV,2023-10,254,521,48.75,92.37,75.5,1.51,117
Pune Zone,Unknown,CCMUD,2023-04,239,544,43.93,87.11,55.37,1.11,163
Pune Zone,West Bengal,CCMUD,2023-01,95,444,21.4,82.48,58.57,1.17,77
North,Punjab,TLU03,2023-02,426,680,62.65,85.14,57.34,1.15,407
Central,Unknown,TLU03,2023-05,27,202,13.37,13.92,12.86,0.26,25
East,West Bengal,TL009,2023-07,95,242,39.26,29.95,23.34,0.47,64
South,West Bengal,LADEP,2023-01,334,481,69.44,61.41,33.99,0.68,0
East,Haryana,VL001,2023-12,347,618,56.15,69.71,42.64,0.85,304
West,Unknown,VL001,2023-09,453,730,62.05,7.13,5.55,0.11,12
North,Punjab,TL009,2023-01,297,332,89.46,45.43,36.7,0.73,184
Central,Unknown,ODGEN,2023-10,462,955,48.38,60.25,41.21,0.82,458
East,Rajasthan,CCSUV,2023-01,2,74,2.7,21.54,16.72,0.33,0
Central,Jharkhand,UMGLP,2023-03,103,133,77.44,61.66,41.8,0.84,12
South,Rajasthan,TLP12,2023-02,489,852,57.39,80.15,75.84,1.52,69
MMZO Zone,Unknown,CCSUV,2023-01,15,223,6.73,47.18,44.01,0.88,5
Central,Jharkhand,ODGEN,2023-11,203,658,30.85,37.6,31.43,0.63,21
North,Bihar,UKKGL,2023-12,462,592,78.04,65.73,46.15,0.92,273
North,Unknown,CHOME,2023-04,60,398,15.08,23.49,18.87,0.38,21
West,Delhi,VL001,2023-12,83,397,20.91,56.01,34.89,0.7,67
Hyderabad,West Bengal,TLU03,2023-12,42,494,8.5,19.08,15.68,0.31,26
North,Rajasthan,VL001,2023-05,277,616,44.97,91.55,51.54,1.03,153
South,West Bengal,UMGLP,2023-10,496,673,73.7,97.41,77.96,1.56,235
North,Odisha,TLP12,2023-06,306,585,52.31,90.81,69.51,1.39,2
West,Odisha,ODGEN,2023-09,0,211,0.0,64.94,32.69,0.65,0
East,Rajasthan,UKKGL,2023-12,355,752,47.21,25.05,14.26,0.29,184
North,Odisha,LADEP,2023-08,379,586,64.68,60.4,54.31,1.09,167
Central,Haryana,LADEP,2023-10,498,558,89.25,84.7,80.88,1.62,486
Hyderabad,Unknown,CCGEN,2023-08,363,713,50.91,35.43,23.09,0.46,268
West,West Bengal,TLP12,2023-10,208,476,43.7,88.33,81.84,1.64,49
North,Jharkhand,CCMUD,2023-05,248,354,70.06,49.9,44.21,0.88,239
East,Haryana,CCGEN,2023-01,253,528,47.92,86.88,45.4,0.91,249
South,Delhi,CHOME,2023-06,395,662,59.67,19.52,10.54,0.21,258
Hyderabad,Bihar,CCSUV,2023-08,26,30,86.67,39.81,20.06,0.4,9
West,Odisha,UMGLP,2023-05,469,475,98.74,30.85,30.49,0.61,285
MMZO Zone,Odisha,TLP12,2023-04,314,797,39.4,46.13,37.13,0.74,288
West,Odisha,TLU03,2023-11,230,253,90.91,92.21,48.45,0.97,170
South,Rajasthan,TLU03,2023-09,239,350,68.29,18.3,11.59,0.23,39
Central,Jharkhand,UMGLP,2023-04,204,396,51.52,35.27,27.22,0.54,28
Hyderabad,Haryana,CCSUV,2023-02,18,233,7.73,34.39,17.26,0.35,3
Pune Zone,Odisha,CCGEN,2023-02,286,399,71.68,8.65,6.64,0.13,38
Pune Zone,Odisha,UKKGL,2023-10,373,690,54.06,70.0,37.52,0.75,285
North,Odisha,CCGEN,2023-04,44,304,14.47,32.32,30.0,0.6,39
North,Jharkhand,UMGLP,2023-07,145,498,29.12,69.58,50.53,1.01,41
Central,Jharkhand,VL001,2023-08,374,770,48.57,56.89,28.9,0.58,164
South,West Bengal,VL001,2023-04,63,196,32.14,13.56,13.21,0.26,12
Central,Jharkhand,UMGLP,2023-06,398,615,64.72,23.32,12.57,0.25,87
MMZO Zone,Rajasthan,LADEP,2023-10,212,399,53.13,62.1,51.17,1.02,125
North,Haryana,CCMUD,2023-05,262,655,40.0,50.44,40.87,0.82,161
Central,Haryana,VL001,2023-11,131,366,35.79,9.83,6.03,0.12,54
West,Bihar,VL001,2023-12,459,888,51.69,78.01,62.65,1.25,119
Pune Zone,Unknown,CCMUD,2023-05,487,575,84.7,43.99,29.84,0.6,415
North,Punjab,CCMUD,2023-02,87,119,73.11,5.77,5.73,0.11,24
West,Delhi,UMGLP,2023-10,160,388,41.24,83.67,78.36,1.57,27
Hyderabad,West Bengal,TL009,2023-06,335,758,44.2,43.32,32.56,0.65,41
Pune Zone,Unknown,TLP12,2023-01,27,342,7.89,94.64,61.0,1.22,3
Central,Odisha,CCMUD,2023-10,151,640,23.59,67.72,38.11,0.76,60
North,Bihar,CCMUD,2023-09,335,479,69.94,31.26,21.81,0.44,7
North,Jharkhand,TLP12,2023-09,89,260,34.23,62.54,40.07,0.8,79
MMZO Zone,Bihar,VL001,2023-12,329,492,66.87,18.76,17.56,0.35,4
North,West Bengal,CCGEN,2023-09,470,693,67.82,5.36,3.72,0.07,170
South,Haryana,CCGEN,2023-12,149,521,28.6,93.18,68.33,1.37,24
MMZO Zone,Bihar,CCGEN,2023-10,323,638,50.63,47.75,38.17,0.76,141
West,Unknown,CCSUV,2023-11,135,161,83.85,51.55,46.91,0.94,101
Pune Zone,West Bengal,TLU03,2023-06,436,696,62.64,11.75,8.97,0.18,366
Central,Punjab,UKKGL,2023-07,100,205,48.78,38.48,32.27,0.65,33
North,Jharkhand,VL001,2023-02,101,444,22.75,23.47,15.08,0.3,1
MMZO Zone,Jharkhand,VL001,2023-11,421,775,54.32,18.26,14.1,0.28,68
South,Punjab,CCGEN,2023-12,295,498,59.24,41.21,35.25,0.7,140
MMZO Zone,West Bengal,VL001,2023-12,82,420,19.52,90.49,49.89,1.0,81
West,Haryana,UMGLP,2023-05,146,487,29.98,35.81,27.97,0.56,120
South,Rajasthan,UKKGL,2023-05,364,708,51.41,29.71,17.18,0.34,45
South,Punjab,TLP12,2023-01,345,561,61.5,79.63,44.14,0.88,273
South,Bihar,ODGEN,2023-09,72,393,18.32,71.13,38.96,0.78,20
West,Delhi,CCSUV,2023-09,444,878,50.57,83.68,74.57,1.49,210
South,Jharkhand,UKKGL,2023-02,289,317,91.17,73.65,49.16,0.98,195
Hyderabad,Delhi,UMGLP,2023-12,443,551,80.4,78.67,52.61,1.05,369
East,Odisha,LADEP,2023-09,22,396,5.56,61.34,34.12,0.68,15
MMZO Zone,Delhi,CCGEN,2023-02,469,475,98.74,27.62,21.83,0.44,336
West,Delhi,TLU03,2023-01,60,471,12.74,2.08,1.96,0.04,50
South,Unknown,CCGEN,2023-09,287,674,42.58,14.82,10.99,0.22,247
North,Rajasthan,UKKGL,2023-04,72,305,23.61,73.73,57.82,1.16,14
East,Jharkhand,LADEP,2023-09,28,249,11.24,89.55,45.07,0.9,22
Pune Zone,West Bengal,ODGEN,2023-05,15,398,3.77,79.0,74.86,1.5,10
Pune Zone,Haryana,UKKGL,2023-03,480,481,99.79,41.44,32.27,0.65,309
East,West Bengal,ODGEN,2023-04,46,355,12.96,3.6,3.31,0.07,16
North,Bihar,TL009,2023-12,333,386,86.27,9.06,5.48,0.11,16
North,West Bengal,TLP12,2023-04,391,666,58.71,89.25,72.17,1.44,37
Hyderabad,Haryana,CCGEN,2023-06,241,417,57.79,73.2,59.21,1.18,118
West,Haryana,CCSUV,2023-08,244,398,61.31,53.53,37.74,0.75,197
North,West Bengal,UMGLP,2023-03,446,784,56.89,46.27,42.29,0.85,261
East,Odisha,TL009,2023-02,472,505,93.47,27.05,22.66,0.45,417
MMZO Zone,Jharkhand,TLP12,2023-09,162,659,24.58,25.0,15.36,0.31,111
Hyderabad,Odisha,ODGEN,2023-08,271,465,58.28,68.97,59.5,1.19,113
North,Haryana,CCGEN,2023-09,215,434,49.54,86.6,58.64,1.17,64
Hyderabad,Haryana,UKKGL,2023-12,433,910,47.58,70.63,50.16,1.0,56
Hyderabad,Unknown,TLP12,2023-11,355,547,64.9,9.13,8.59,0.17,205
MMZO Zone,Punjab,UKKGL,2023-01,89,199,44.72,91.86,76.63,1.53,6
Pune Zone,Punjab,LADEP,2023-03,185,389,47.56,11.11,10.29,0.21,46
MMZO Zone,West Bengal,CCGEN,2023-10,485,490,98.98,60.68,54.03,1.08,320
North,Jharkhand,TLU03,2023-07,17,219,7.76,47.25,46.91,0.94,8
South,Punjab,LADEP,2023-07,277,316,87.66,27.4,17.92,0.36,116
West,Rajasthan,TLU03,2023-01,373,440,84.77,51.95,39.22,0.78,316
MMZO Zone,Bihar,CCSUV,2023-04,66,539,12.24,36.03,25.68,0.51,0
South,Jharkhand,UKKGL,2023-07,113,338,33.43,91.66,86.77,1.74,105
South,Punjab,LADEP,2023-10,106,300,35.33,74.71,69.0,1.38,82
Pune Zone,Unknown,LADEP,2023-06,245,472,51.91,22.14,20.81,0.42,116
West,Bihar,UMGLP,2023-12,2,449,0.45,66.43,50.81,1.02,1
East,Bihar,TLP12,2023-10,188,361,52.08,33.14,21.08,0.42,33
Hyderabad,Bihar,TLP12,2023-08,342,472,72.46,31.23,25.82,0.52,251
North,Delhi,VL001,2023-12,155,510,30.39,71.27,69.21,1.38,8
Pune Zone,Unknown,CCMUD,2023-07,324,602,53.82,50.05,42.77,0.86,61
North,Rajasthan,CCMUD,2023-10,179,636,28.14,40.11,38.66,0.77,149
North,Bihar,CCMUD,2023-01,411,555,74.05,86.94,80.67,1.61,264
Central,Unknown,CCSUV,2023-02,286,449,63.7,51.09,50.88,1.02,28
Pune Zone,Jharkhand,CCGEN,2023-08,237,373,63.54,29.9,18.89,0.38,19
Central,Haryana,TLP12,2023-03,157,229,68.56,99.53,87.2,1.74,148
North,Bihar,LADEP,2023-01,59,294,20.07,96.38,58.77,1.18,18
MMZO Zone,Haryana,ODGEN,2023-08,278,601,46.26,7.44,5.41,0.11,184
Pune Zone,Jharkhand,CCGEN,2023-08,309,457,67.61,65.91,34.16,0.68,155
East,West Bengal,UMGLP,2023-03,143,206,69.42,41.32,31.69,0.63,106
Central,Jharkhand,TLP12,2023-10,491,627,78.31,89.15,53.31,1.07,410
Hyderabad,Rajasthan,UKKGL,2023-06,143,597,23.95,60.89,47.52,0.95,69
Pune Zone,Odisha,CHOME,2023-09,180,263,68.44,8.24,4.62,0.09,85
MMZO Zone,Unknown,ODGEN,2023-01,262,676,38.76,19.58,16.1,0.32,72
West,Bihar,UKKGL,2023-04,427,670,63.73,33.16,23.6,0.47,154
East,Odisha,CCMUD,2023-05,387,694,55.76,31.23,20.92,0.42,26
North,Haryana,ODGEN,2023-05,255,383,66.58,4.89,4.79,0.1,63
West,Punjab,TLP12,2023-09,380,440,86.36,48.11,45.31,0.91,58
Pune Zone,Delhi,VL001,2023-08,4,92,4.35,83.61,53.44,1.07,1
Pune Zone,Unknown,UMGLP,2023-04,338,678,49.85,98.69,96.4,1.93,13
MMZO Zone,Delhi,CCMUD,2023-01,182,417,43.65,78.85,50.74,1.01,63
North,Punjab,CHOME,2023-02,308,712,43.26,20.45,20.08,0.4,256
Central,Odisha,CHOME,2023-03,175,393,44.53,56.15,54.13,1.08,102
North,Punjab,CCSUV,2023-07,356,849,41.93,20.67,12.47,0.25,41
West,Haryana,LADEP,2023-12,226,405,55.8,15.46,12.69,0.25,216
North,West Bengal,CHOME,2023-12,322,398,80.9,87.55,44.03,0.88,235
MMZO Zone,Bihar,CHOME,2023-01,92,391,23.53,25.53,13.23,0.26,69
Hyderabad,Jharkhand,UMGLP,2023-06,355,470,75.53,73.69,66.27,1.33,170
Central,Jharkhand,UKKGL,2023-04,24,38,63.16,91.8,78.06,1.56,23
MMZO Zone,Rajasthan,TLU03,2023-11,254,330,76.97,69.79,68.99,1.38,106
Pune Zone,Bihar,UMGLP,2023-01,108,471,22.93,4.65,2.98,0.06,51
MMZO Zone,Jharkhand,CHOME,2023-02,297,347,85.59,63.1,61.96,1.24,53
South,Unknown,TLP12,2023-02,299,327,91.44,95.1,54.92,1.1,126
Pune Zone,West Bengal,CCGEN,2023-03,50,99,50.51,5.68,4.18,0.08,0
Pune Zone,Unknown,TL009,2023-06,397,431,92.11,41.67,34.09,0.68,24
Hyderabad,Haryana,VL001,2023-03,391,679,57.58,53.52,41.58,0.83,298
Pune Zone,Unknown,LADEP,2023-02,330,768,42.97,95.28,71.63,1.43,47
Hyderabad,Odisha,UMGLP,2023-06,399,870,45.86,53.27,27.07,0.54,179
MMZO Zone,Delhi,CCGEN,2023-12,225,310,72.58,48.71,44.42,0.89,5
North,Jharkhand,UKKGL,2023-11,471,525,89.71,49.85,25.55,0.51,415
Pune Zone,Haryana,TL009,2023-07,79,115,68.7,12.27,7.15,0.14,11
East,Rajasthan,ODGEN,2023-04,70,434,16.13,76.1,67.08,1.34,20
Pune Zone,Rajasthan,CCSUV,2023-01,159,165,96.36,72.74,51.52,1.03,53
Pune Zone,Punjab,CHOME,2023-08,184,487,37.78,62.5,54.67,1.09,68
South,Haryana,LADEP,2023-12,74,92,80.43,31.44,28.88,0.58,60
East,Odisha,TLU03,2023-03,41,366,11.2,96.33,71.03,1.42,8
South,Bihar,UMGLP,2023-01,122,167,73.05,59.48,29.97,0.6,92
Hyderabad,Bihar,CCGEN,2023-02,136,559,24.33,76.31,49.63,0.99,37
South,Unknown,TLP12,2023-09,28,195,14.36,97.11,70.07,1.4,18
Hyderabad,Unknown,CCSUV,2023-08,77,141,54.61,91.56,74.47,1.49,29
East,Haryana,TLP12,2023-10,81,184,44.02,27.08,18.01,0.36,12
MMZO Zone,Jharkhand,UMGLP,2023-01,42,312,13.46,65.59,59.07,1.18,42
Pune Zone,Haryana,TL009,2023-04,44,168,26.19,60.28,48.07,0.96,17
South,Jharkhand,CHOME,2023-02,76,447,17.0,79.44,59.33,1.19,2
Central,Delhi,CCMUD,2023-12,423,436,97.02,9.12,5.18,0.1,236
Hyderabad,Haryana,TLP12,2023-03,125,189,66.14,33.53,28.78,0.58,11
West,Rajasthan,CCSUV,2023-10,242,355,68.17,20.95,17.37,0.35,49
South,Rajasthan,VL001,2023-09,221,594,37.21,87.31,68.52,1.37,143
East,Unknown,LADEP,2023-06,289,644,44.88,92.17,58.69,1.17,11
East,Odisha,VL001,2023-01,281,651,43.16,43.22,38.88,0.78,257
Central,Haryana,UKKGL,2023-01,392,505,77.62,21.25,15.45,0.31,110
Hyderabad,West Bengal,TLU03,2023-09,4,113,3.54,40.42,26.55,0.53,4
Hyderabad,Rajasthan,TLU03,2023-04,158,234,67.52,84.8,47.75,0.96,64
West,Punjab,VL001,2023-02,370,867,42.68,54.2,45.29,0.91,6
Pune Zone,Haryana,CCMUD,2023-10,447,675,66.22,82.33,67.41,1.35,232
South,Unknown,VL001,2023-10,153,367,41.69,95.64,84.12,1.68,79
South,Rajasthan,TL009,2023-01,236,355,66.48,57.62,47.87,0.96,30
West,Bihar,ODGEN,2023-03,283,363,77.96,50.76,43.7,0.87,279
East,Punjab,TLU03,2023-02,12,260,4.62,24.2,23.3,0.47,6
East,Jharkhand,LADEP,2023-01,139,340,40.88,73.44,48.46,0.97,70
Pune Zone,Punjab,UMGLP,2023-10,424,719,58.97,71.4,64.78,1.3,103
West,Rajasthan,TLU03,2023-07,267,721,37.03,53.3,31.01,0.62,198
East,Bihar,TLU03,2023-09,76,574,13.24,70.69,39.84,0.8,31
Central,West Bengal,CHOME,2023-10,298,612,48.69,34.33,29.74,0.59,297
MMZO Zone,Delhi,TLU03,2023-03,21,65,32.31,72.81,50.76,1.02,4
West,Unknown,CCGEN,2023-04,380,734,51.77,26.27,14.96,0.3,265
West,Bihar,UMGLP,2023-12,443,663,66.82,15.3,10.33,0.21,240
South,West Bengal,CCMUD,2023-07,225,459,49.02,56.88,43.59,0.87,82
Hyderabad,Punjab,VL001,2023-08,200,434,46.08,39.89,34.31,0.69,156
Hyderabad,Delhi,CCMUD,2023-04,7,68,10.29,91.59,89.46,1.79,2
Central,Odisha,TLP12,2023-08,132,344,38.37,86.02,58.06,1.16,38
Central,Haryana,VL001,2023-04,298,728,40.93,98.4,63.02,1.26,137
North,Haryana,TLP12,2023-04,296,449,65.92,72.07,55.39,1.11,32
Pune Zone,Jharkhand,TLP12,2023-03,247,665,37.14,52.62,27.92,0.56,8
Pune Zone,Haryana,TL009,2023-01,425,698,60.89,13.27,8.66,0.17,302
Pune Zone,Delhi,CCSUV,2023-03,90,494,18.22,4.66,4.15,0.08,22
South,Jharkhand,VL001,2023-10,473,890,53.15,92.93,77.01,1.54,265
West,Haryana,UMGLP,2023-12,381,780,48.85,85.39,45.52,0.91,136
Central,Unknown,TL009,2023-08,397,537,73.93,34.95,31.3,0.63,388
South,Punjab,TL009,2023-03,290,410,70.73,76.02,40.03,0.8,259
MMZO Zone,Punjab,CHOME,2023-05,466,568,82.04,50.77,46.32,0.93,363
Pune Zone,Punjab,TLP12,2023-12,460,841,54.7,17.38,9.33,0.19,375
North,Punjab,CCGEN,2023-09,169,285,59.3,94.08,90.63,1.81,12
Pune Zone,Bihar,CCSUV,2023-06,432,838,51.55,78.72,50.79,1.02,45
North,Jharkhand,TLP12,2023-12,256,717,35.7,74.95,73.99,1.48,34
Hyderabad,Punjab,VL001,2023-09,127,271,46.86,63.62,37.79,0.76,22
MMZO Zone,Haryana,CCGEN,2023-05,190,619,30.69,48.79,36.11,0.72,78
Pune Zone,Bihar,ODGEN,2023-07,257,670,38.36,36.71,31.89,0.64,46
East,Unknown,TLP12,2023-02,451,694,64.99,91.78,50.39,1.01,140
Central,West Bengal,CCMUD,2023-05,331,431,76.8,79.69,72.37,1.45,50
Central,Haryana,UMGLP,2023-03,90,332,27.11,67.0,35.37,0.71,82
MMZO Zone,Haryana,ODGEN,2023-05,60,185,32.43,75.45,55.57,1.11,35
West,Delhi,UKKGL,2023-06,363,433,83.83,9.98,9.17,0.18,78
East,Haryana,TLP12,2023-08,245,261,93.87,16.76,14.29,0.29,244
North,Delhi,UKKGL,2023-12,178,571,31.17,17.05,16.58,0.33,106
Central,Bihar,CHOME,2023-11,482,708,68.08,9.46,6.3,0.13,220
MMZO Zone,Delhi,UKKGL,2023-12,75,132,56.82,25.48,13.12,0.26,56
MMZO Zone,Delhi,UMGLP,2023-11,492,858,57.34,14.23,11.04,0.22,188
Hyderabad,Haryana,CCMUD,2023-03,41,422,9.72,19.29,10.83,0.22,19
Pune Zone,Delhi,TL009,2023-02,60,168,35.71,10.02,9.68,0.19,22
Hyderabad,West Bengal,LADEP,2023-02,77,412,18.69,81.59,46.7,0.93,37
East,Bihar,UMGLP,2023-05,81,225,36.0,37.31,32.63,0.65,73
East,Odisha,LADEP,2023-11,316,658,48.02,49.34,25.3,0.51,214
Central,Odisha,CCMUD,2023-07,152,371,40.97,67.14,45.86,0.92,66
Central,Bihar,VL001,2023-07,447,655,68.24,74.92,59.72,1.19,39
Central,Bihar,TL009,2023-05,118,365,32.33,34.19,33.63,0.67,50
