LoanID,UserID,LoanScheme,LoanAmount,InterestRate,TenureYears
2941,1448,Personal Loan,204670,12.39,12
2942,1448,Education Loan,1959822,9.09,15
2943,1449,Car Loan,1638928,9.77,5
2944,1449,Home Loan,1567724,12.66,30
2945,1450,Home Loan,1928207,5.08,19
2946,1451,Education Loan,845606,8.2,6
2947,1451,Business Loan,1565261,10.88,25
2948,1451,Personal Loan,537091,7.97,11
2949,1452,Business Loan,1931777,10.25,17
2950,1452,Education Loan,648227,8.23,11
2951,1452,Home Loan,350304,5.42,24
2952,1453,Education Loan,1138704,7.78,29
2953,1454,Personal Loan,778436,7.85,4
2954,1454,Car Loan,624301,9.87,8
2955,1455,Car Loan,1321231,12.53,30
2956,1455,Home Loan,1447612,7.79,4
2957,1456,Business Loan,1633066,6.69,20
2958,1456,Personal Loan,1917816,10.4,26
2959,1456,Home Loan,63977,9.88,27
2960,1457,Home Loan,641056,14.42,19
2961,1457,Education Loan,1585302,9.45,5
2962,1458,Personal Loan,1552087,12.06,28
2963,1458,Personal Loan,981984,13.89,16
2964,1459,Home Loan,633958,12.32,4
2965,1460,Home Loan,1575387,5.74,6
2966,1461,Car Loan,1000983,11.31,17
2967,1461,Personal Loan,1532287,11.88,29
2968,1462,Personal Loan,1528709,12.94,11
2969,1462,Home Loan,1814608,10.58,27
2970,1463,Personal Loan,565718,6.37,13
2971,1464,Home Loan,606345,9.7,16
2972,1464,Home Loan,1588388,9.97,5
2973,1464,Home Loan,1381214,13.76,17
2974,1465,Home Loan,56706,9.34,16
2975,1465,Business Loan,1331815,7.09,6
2976,1465,Personal Loan,926943,11.88,20
2977,1466,Business Loan,542234,11.38,16
2978,1466,Business Loan,1427705,14.54,29
2979,1466,Car Loan,1813058,7.32,10
2980,1467,Education Loan,1720897,11.3,20
2981,1467,Car Loan,1189620,9.81,4
2982,1468,Car Loan,929952,14.69,11
2983,1469,Education Loan,292890,6.76,11
2984,1469,Personal Loan,778925,11.97,23
2985,1469,Home Loan,1672528,13.82,27
2986,1470,Education Loan,1491208,7.35,10
2987,1470,Car Loan,1114278,7.15,28
2988,1470,Education Loan,177513,10.62,11
2989,1471,Car Loan,912409,8.91,15
2990,1471,Education Loan,886091,7.61,2
2991,1471,Car Loan,1068178,12.28,11
2992,1472,Car Loan,988761,9.1,19
2993,1473,Home Loan,1684839,11.25,20
2994,1473,Business Loan,741397,6.29,18
2995,1473,Personal Loan,1564623,5.21,13
2996,1474,Car Loan,1963081,8.53,25
2997,1474,Business Loan,183095,11.55,17
2998,1474,Home Loan,809374,10.35,6
2999,1475,Home Loan,658567,13.01,30
3000,1475,Car Loan,745210,9.13,18
3001,1476,Personal Loan,125654,13.45,25
3002,1477,Business Loan,884535,12.91,2
3003,1478,Car Loan,100844,7.3,25
3004,1478,Home Loan,120837,7.72,4
3005,1479,Education Loan,325132,13.18,29
3006,1479,Car Loan,1857710,5.85,3
3007,1479,Business Loan,1564380,12.03,24
3008,1480,Personal Loan,1607454,13.3,20
3009,1481,Business Loan,1712244,8.91,27
3010,1482,Car Loan,941609,10.12,1
3011,1482,Car Loan,624723,9.59,4
3012,1483,Business Loan,1038598,8.77,14
3013,1483,Personal Loan,516098,14.67,18
3014,1483,Car Loan,1063657,7.84,23
3015,1484,Home Loan,851968,5.17,16
3016,1484,Education Loan,831687,12.63,23
3017,1484,Personal Loan,998479,7.24,1
3018,1485,Education Loan,825572,9.77,4
3019,1486,Car Loan,351510,13.1,3
3020,1486,Personal Loan,1226261,6.69,28
3021,1487,Home Loan,225927,6.41,20
3022,1487,Education Loan,1147661,12.23,19
3023,1487,Home Loan,173591,12.67,9
3024,1488,Car Loan,1799703,6.51,11
3025,1488,Business Loan,1305628,9.07,1
3026,1489,Home Loan,1633429,10.62,16
3027,1489,Business Loan,1098189,8.13,21
3028,1489,Home Loan,724943,9.61,16
3029,1490,Personal Loan,1981960,6.05,23
3030,1490,Personal Loan,837870,6.27,1
3031,1490,Home Loan,1140391,12.48,6
3032,1491,Personal Loan,131918,13.86,16
3033,1491,Home Loan,1363162,13.03,16
3034,1492,Business Loan,926918,8.99,10
3035,1492,Personal Loan,963266,14.96,24
3036,1492,Car Loan,1145720,8.22,29
3037,1493,Home Loan,346783,7.9,22
3038,1493,Home Loan,1733622,11.14,23
3039,1493,Car Loan,1139218,11.05,16
3040,1494,Car Loan,1994226,12.47,28
3041,1495,Business Loan,1549634,13.29,1
3042,1496,Home Loan,365304,9.7,1
3043,1496,Car Loan,1521077,6.88,23
3044,1497,Education Loan,744230,5.95,20
3045,1497,Education Loan,1296661,6.56,12
3046,1497,Business Loan,1902504,7.26,21
3047,1498,Car Loan,645984,13.21,28
3048,1499,Car Loan,820231,11.25,13
3049,1499,Car Loan,1226737,10.41,22
3050,1499,Home Loan,212479,10.93,4
3051,1500,Car Loan,423975,7.63,4
3052,1501,Business Loan,1402306,12.66,11
3053,1501,Business Loan,1668956,13.53,20
3054,1501,Car Loan,1743029,12.37,20
3055,1502,Home Loan,402529,5.03,8
3056,1502,Home Loan,241550,14.3,20
3057,1503,Home Loan,1047120,13.75,11
3058,1504,Home Loan,1123123,13.07,14
3059,1505,Car Loan,684510,10.0,4
3060,1505,Home Loan,1224709,8.93,25
3061,1506,Education Loan,794471,8.12,17
3062,1506,Car Loan,1162928,5.78,20
3063,1506,Home Loan,398371,14.45,27
3064,1507,Home Loan,1811347,9.37,15
3065,1507,Education Loan,1507729,12.89,22
3066,1507,Personal Loan,1220011,14.0,21
3067,1508,Personal Loan,1866423,8.66,15
3068,1509,Education Loan,498329,11.17,29
3069,1509,Home Loan,852071,8.74,30
3070,1510,Home Loan,977110,8.61,7
3071,1511,Car Loan,738812,5.94,12
3072,1511,Car Loan,1104434,14.22,20
3073,1511,Car Loan,120313,11.47,21
3074,1512,Personal Loan,1508567,12.04,9
3075,1512,Personal Loan,1249950,13.23,28
3076,1513,Business Loan,1375903,9.54,6
3077,1513,Education Loan,1622729,13.75,25
3078,1514,Personal Loan,824968,5.29,29
3079,1515,Home Loan,1876437,13.51,3
3080,1516,Personal Loan,979831,11.37,2
3081,1517,Business Loan,631913,14.83,7
3082,1518,Personal Loan,747649,13.37,28
3083,1518,Car Loan,1932689,12.09,29
3084,1518,Business Loan,1564427,14.44,17
3085,1519,Education Loan,923209,13.38,22
3086,1519,Personal Loan,186220,6.93,25
3087,1519,Business Loan,359359,12.29,3
3088,1520,Personal Loan,627818,11.09,23
3089,1520,Business Loan,908262,6.73,24
3090,1521,Car Loan,1225578,8.51,11
3091,1521,Education Loan,1241545,13.36,3
3092,1522,Personal Loan,293818,14.18,6
3093,1522,Personal Loan,439354,8.18,21
3094,1523,Personal Loan,506184,11.38,15
3095,1524,Home Loan,695466,13.37,21
3096,1524,Home Loan,1617429,12.56,5
3097,1524,Car Loan,161852,8.79,10
3098,1525,Home Loan,1234974,8.16,8
3099,1525,Home Loan,622101,13.84,6
3100,1526,Education Loan,604791,5.92,12
3101,1526,Business Loan,812552,8.49,21
3102,1527,Home Loan,127030,14.5,19
3103,1527,Education Loan,376535,10.38,7
3104,1528,Car Loan,1404776,13.11,26
3105,1528,Car Loan,485047,8.42,17
3106,1529,Car Loan,240332,10.13,7
3107,1529,Car Loan,507713,9.68,2
3108,1529,Personal Loan,1134290,11.58,6
3109,1530,Education Loan,1280652,8.23,19
3110,1531,Business Loan,1940110,5.34,23
3111,1531,Personal Loan,1370098,8.59,29
3112,1531,Personal Loan,382923,9.21,11
3113,1532,Personal Loan,442401,14.13,10
3114,1532,Home Loan,1029037,10.47,25
3115,1532,Personal Loan,970667,13.09,15
3116,1533,Education Loan,1582923,8.99,27
3117,1533,Home Loan,579687,12.23,20
3118,1533,Car Loan,1061996,11.79,10
3119,1534,Business Loan,276188,9.21,25
3120,1535,Education Loan,1293770,5.29,17
3121,1535,Home Loan,1984315,8.01,20
3122,1535,Business Loan,466205,14.51,19
3123,1536,Car Loan,1703749,14.6,3
3124,1537,Car Loan,1011991,8.96,15
3125,1538,Home Loan,470282,13.83,10
3126,1538,Car Loan,218559,6.85,28
3127,1538,Home Loan,965509,5.9,8
3128,1539,Business Loan,1823495,12.76,1
3129,1539,Education Loan,384138,8.45,16
3130,1539,Business Loan,1490295,8.94,7
3131,1540,Education Loan,1793461,9.63,8
3132,1540,Personal Loan,862801,6.29,25
3133,1540,Home Loan,888616,12.73,29
3134,1541,Education Loan,1301871,8.94,3
3135,1541,Car Loan,1074058,11.7,19
3136,1541,Personal Loan,514926,13.86,6
3137,1542,Car Loan,762719,10.01,1
3138,1542,Business Loan,1306550,12.52,30
3139,1543,Home Loan,339574,10.0,2
3140,1543,Home Loan,683209,9.35,11
3141,1543,Education Loan,1421631,6.8,5
3142,1544,Education Loan,1466149,13.21,2
3143,1544,Car Loan,934446,6.8,13
3144,1545,Personal Loan,1025013,13.06,12
3145,1545,Personal Loan,1425456,13.62,26
3146,1545,Personal Loan,387397,8.19,19
3147,1546,Education Loan,74303,9.86,22
3148,1546,Education Loan,935956,12.71,10
3149,1547,Personal Loan,1315916,13.07,30
3150,1547,Education Loan,1102899,8.73,16
3151,1548,Business Loan,815170,6.12,6
3152,1548,Education Loan,1165080,12.6,28
3153,1549,Home Loan,64589,8.37,30
3154,1550,Car Loan,464424,10.15,20
3155,1550,Education Loan,962026,5.49,10
3156,1550,Personal Loan,304911,13.68,15
3157,1551,Business Loan,1489459,8.69,14
3158,1552,Car Loan,1658166,13.19,18
3159,1552,Car Loan,424820,7.93,14
3160,1552,Personal Loan,986944,8.25,21
3161,1553,Personal Loan,799195,12.32,18
3162,1553,Education Loan,571408,6.75,18
3163,1553,Personal Loan,314355,12.27,21
3164,1554,Car Loan,774327,14.72,23
3165,1554,Business Loan,561916,14.19,29
3166,1555,Business Loan,1011375,5.41,11
3167,1555,Car Loan,130294,6.47,24
3168,1555,Personal Loan,850929,10.13,24
3169,1556,Car Loan,936109,9.01,6
3170,1556,Car Loan,1563292,11.53,29
3171,1557,Personal Loan,1714393,6.92,9
3172,1557,Car Loan,1340967,10.14,28
3173,1558,Personal Loan,834830,10.73,7
3174,1558,Education Loan,626269,12.47,25
3175,1558,Home Loan,630604,10.02,2
3176,1559,Home Loan,1472305,7.85,1
3177,1559,Education Loan,484396,5.19,14
3178,1560,Car Loan,610051,9.62,26
3179,1561,Personal Loan,514149,7.25,23
3180,1561,Car Loan,513591,5.64,10
3181,1562,Business Loan,1784292,9.61,14
3182,1562,Business Loan,739442,10.41,16
3183,1562,Business Loan,76355,8.43,11
3184,1563,Home Loan,1018774,13.54,16
3185,1563,Home Loan,1166188,11.98,22
3186,1564,Education Loan,117667,11.61,19
3187,1564,Personal Loan,1374108,9.87,12
3188,1565,Business Loan,824250,8.04,25
3189,1566,Education Loan,112001,6.56,19
3190,1566,Home Loan,1359178,8.52,14
3191,1567,Car Loan,1216938,12.44,8
3192,1568,Home Loan,843622,11.07,28
3193,1568,Personal Loan,253381,8.96,7
3194,1568,Personal Loan,1246939,7.89,28
3195,1569,Education Loan,1203581,9.09,25
3196,1569,Home Loan,926987,14.0,9
3197,1569,Car Loan,1665854,8.63,4
3198,1570,Car Loan,1103409,10.36,13
3199,1570,Home Loan,1851572,9.04,25
3200,1570,Education Loan,650379,13.26,15
3201,1571,Education Loan,654835,5.03,27
3202,1572,Home Loan,1483092,14.07,13
3203,1572,Business Loan,1419658,9.18,14
3204,1573,Personal Loan,1347876,7.24,20
3205,1574,Personal Loan,1307385,10.71,14
3206,1574,Personal Loan,731616,11.1,6
3207,1574,Business Loan,1361758,9.72,3
3208,1575,Business Loan,1902859,12.9,13
3209,1576,Home Loan,1833227,14.13,15
3210,1576,Car Loan,1566366,13.75,6
3211,1576,Education Loan,1544834,14.21,11
3212,1577,Personal Loan,1925788,5.31,19
3213,1577,Education Loan,1012997,7.45,20
3214,1578,Home Loan,1017638,10.0,4
3215,1579,Home Loan,563515,9.62,3
3216,1579,Personal Loan,1619945,5.32,22
3217,1580,Education Loan,1858099,8.85,26
3218,1580,Education Loan,595320,13.83,18
3219,1580,Personal Loan,1551130,12.77,21
3220,1581,Personal Loan,969645,9.81,24
3221,1581,Personal Loan,664388,13.12,27
3222,1581,Personal Loan,812048,8.99,30
3223,1582,Education Loan,948815,12.87,4
3224,1582,Home Loan,1826435,7.62,27
3225,1582,Business Loan,1630367,12.92,24
3226,1583,Education Loan,1426857,8.4,30
3227,1583,Home Loan,1718395,9.83,9
3228,1584,Personal Loan,1011003,13.99,16
3229,1584,Home Loan,1637503,7.6,10
3230,1585,Car Loan,1701242,9.5,9
3231,1585,Business Loan,627343,10.94,25
3232,1586,Business Loan,654882,5.26,29
3233,1587,Car Loan,1546953,7.91,23
3234,1587,Home Loan,1240427,11.34,16
3235,1587,Education Loan,1461967,7.95,24
3236,1588,Home Loan,1323913,7.92,13
3237,1589,Home Loan,108730,13.51,19
3238,1589,Car Loan,361140,10.84,9
3239,1589,Car Loan,1562338,10.09,28
3240,1590,Education Loan,1347004,14.0,12
3241,1590,Home Loan,1281312,13.53,11
3242,1591,Education Loan,1864893,14.26,21
3243,1591,Home Loan,1876162,10.25,6
3244,1592,Personal Loan,1452459,14.47,11
3245,1592,Home Loan,698666,7.06,5
3246,1593,Personal Loan,1413141,6.97,16
3247,1593,Education Loan,1244135,14.13,30
3248,1593,Personal Loan,1811559,12.46,27
3249,1594,Home Loan,812441,11.64,13
3250,1595,Car Loan,1114129,5.67,18
3251,1596,Business Loan,1880007,5.79,26
3252,1596,Personal Loan,986656,10.67,8
3253,1596,Home Loan,587022,12.97,6
3254,1597,Home Loan,528863,11.9,15
3255,1597,Home Loan,134374,14.79,9
3256,1597,Business Loan,631910,5.91,7
3257,1598,Home Loan,1145882,8.03,7
3258,1599,Business Loan,1647359,10.81,15
3259,1600,Personal Loan,718694,12.9,3
3260,1600,Home Loan,1053065,6.16,3
3261,1600,Education Loan,463969,6.0,19
3262,1601,Education Loan,679063,10.69,19
3263,1601,Education Loan,1855939,14.05,24
3264,1601,Education Loan,1680317,11.43,19
3265,1602,Education Loan,51038,7.52,14
3266,1602,Business Loan,617789,9.93,6
3267,1602,Car Loan,1113870,9.83,10
3268,1603,Car Loan,1868778,10.32,11
3269,1603,Car Loan,1471538,10.61,10
3270,1604,Personal Loan,1636730,14.46,16
3271,1604,Personal Loan,719426,13.93,17
3272,1605,Home Loan,424960,5.66,14
3273,1605,Car Loan,248323,14.25,15
3274,1606,Business Loan,1775028,6.83,25
3275,1606,Personal Loan,1649817,7.32,10
3276,1606,Business Loan,690436,8.2,17
3277,1607,Car Loan,1995216,11.1,19
3278,1608,Car Loan,377968,6.92,13
3279,1609,Business Loan,1439553,6.57,17
3280,1610,Business Loan,1704125,9.17,24
3281,1610,Car Loan,529668,14.33,16
3282,1610,Car Loan,827605,6.45,11
3283,1611,Car Loan,993105,8.08,19
3284,1611,Education Loan,1649487,9.17,25
3285,1612,Education Loan,791578,11.46,5
3286,1613,Personal Loan,1766588,12.04,7
3287,1613,Car Loan,668233,13.33,1
3288,1614,Education Loan,733011,10.58,24
3289,1614,Home Loan,1722425,7.15,17
3290,1615,Personal Loan,206084,7.43,11
3291,1615,Education Loan,1562600,10.93,2
3292,1616,Education Loan,573965,7.8,20
3293,1616,Business Loan,836471,5.59,2
3294,1617,Car Loan,1178049,8.69,30
3295,1617,Car Loan,282848,9.72,29
3296,1618,Car Loan,1675802,12.32,27
3297,1619,Business Loan,676745,10.74,18
3298,1620,Home Loan,737534,10.73,25
3299,1620,Car Loan,1217430,10.31,10
3300,1621,Home Loan,1669212,12.7,28
3301,1622,Car Loan,1839779,8.61,25
3302,1622,Education Loan,1617145,13.85,6
3303,1622,Car Loan,1032151,7.28,12
3304,1623,Car Loan,585524,11.04,30
3305,1624,Personal Loan,1396875,9.11,13
3306,1625,Business Loan,176429,14.13,17
3307,1626,Business Loan,966889,14.96,17
3308,1627,Education Loan,642752,10.75,21
3309,1627,Personal Loan,1590219,5.76,3
3310,1627,Business Loan,1687012,6.12,6
3311,1628,Business Loan,1984616,9.68,21
3312,1629,Education Loan,1764958,7.77,15
3313,1630,Car Loan,203146,6.82,19
3314,1631,Business Loan,1688112,11.93,27
3315,1631,Education Loan,1915200,5.21,19
3316,1632,Business Loan,1786908,8.9,1
3317,1633,Education Loan,365610,7.59,8
3318,1633,Business Loan,1464609,12.68,18
3319,1634,Home Loan,1664655,13.22,30
3320,1634,Car Loan,1923267,13.8,28
3321,1634,Business Loan,370035,6.89,5
3322,1635,Home Loan,261595,5.26,20
3323,1635,Personal Loan,1684652,6.27,12
3324,1636,Car Loan,1997133,7.3,7
3325,1636,Home Loan,685289,6.63,9
3326,1637,Car Loan,107244,6.37,29
3327,1638,Education Loan,103317,9.44,24
3328,1639,Education Loan,153209,9.47,13
3329,1640,Education Loan,1287775,13.14,3
3330,1641,Business Loan,1569425,10.16,6
3331,1641,Home Loan,302409,14.41,24
3332,1641,Business Loan,801599,12.5,11
3333,1642,Home Loan,240402,13.0,12
3334,1643,Business Loan,284864,14.45,1
3335,1643,Personal Loan,846978,13.03,13
3336,1644,Car Loan,700078,13.37,14
3337,1644,Car Loan,531000,15.0,3
3338,1645,Education Loan,1886983,9.71,9
3339,1645,Car Loan,145146,6.41,8
3340,1645,Home Loan,1234008,5.09,17
3341,1646,Education Loan,1648633,5.39,20
3342,1647,Car Loan,829519,11.18,27
3343,1647,Home Loan,929208,6.72,30
3344,1647,Business Loan,367467,12.42,26
3345,1648,Car Loan,1893558,14.25,26
3346,1649,Education Loan,477980,8.06,21
3347,1650,Business Loan,723338,5.28,1
3348,1650,Car Loan,109762,13.89,2
3349,1651,Education Loan,147516,10.39,25
3350,1652,Business Loan,405971,6.58,1
3351,1652,Car Loan,1931541,7.23,14
3352,1652,Personal Loan,285742,14.69,15
3353,1653,Education Loan,331868,13.57,26
3354,1653,Personal Loan,703117,9.76,29
3355,1653,Car Loan,318851,8.23,18
3356,1654,Personal Loan,1051997,9.93,27
3357,1654,Business Loan,461643,6.26,17
3358,1654,Home Loan,1739145,14.42,8
3359,1655,Personal Loan,1554220,9.04,29
3360,1656,Home Loan,524424,7.51,24
3361,1657,Car Loan,1539943,14.74,22
3362,1657,Business Loan,1140344,10.17,29
3363,1658,Car Loan,935042,8.75,5
3364,1659,Personal Loan,1618535,14.06,13
3365,1659,Personal Loan,1715547,6.98,6
3366,1659,Personal Loan,349797,11.35,27
3367,1660,Education Loan,726399,5.12,16
3368,1661,Home Loan,1368506,13.7,19
3369,1661,Education Loan,998131,14.93,15
3370,1662,Business Loan,972459,6.18,9
3371,1662,Business Loan,1987528,8.37,29
3372,1663,Car Loan,1742377,13.72,25
3373,1663,Business Loan,1006964,11.63,22
3374,1664,Car Loan,182367,12.82,14
3375,1664,Personal Loan,1189422,6.26,8
3376,1664,Education Loan,1790799,6.11,18
3377,1665,Home Loan,1881456,8.48,15
3378,1665,Education Loan,1210351,14.84,3
3379,1666,Education Loan,1769720,14.41,17
3380,1667,Home Loan,1677204,5.17,24
3381,1668,Business Loan,1310254,12.8,19
3382,1668,Business Loan,1151099,5.47,18
3383,1669,Home Loan,1504783,14.47,17
3384,1669,Home Loan,835324,6.59,22
3385,1669,Home Loan,1381497,11.34,20
3386,1670,Home Loan,1184185,14.42,20
3387,1670,Education Loan,1849975,7.02,2
3388,1670,Education Loan,671798,8.9,17
3389,1671,Education Loan,725117,6.36,10
3390,1671,Personal Loan,207014,7.51,18
3391,1672,Home Loan,1985780,12.33,20
3392,1672,Personal Loan,174198,12.55,5
3393,1673,Home Loan,1653467,14.72,8
3394,1673,Education Loan,1699017,6.59,14
3395,1674,Home Loan,571295,13.34,3
3396,1674,Home Loan,629270,6.4,13
3397,1674,Personal Loan,1572488,12.4,22
3398,1675,Education Loan,348652,11.72,25
3399,1676,Personal Loan,1141819,8.11,4
3400,1677,Education Loan,536919,11.6,10
3401,1677,Personal Loan,1185103,12.43,15
3402,1677,Home Loan,197645,13.8,25
3403,1678,Car Loan,135923,8.82,29
3404,1678,Car Loan,286637,11.27,14
3405,1679,Education Loan,1640604,7.91,17
3406,1680,Business Loan,1306292,13.65,8
3407,1681,Education Loan,934314,5.57,4
3408,1681,Car Loan,1816483,12.24,9
3409,1682,Business Loan,739605,9.2,27
3410,1682,Car Loan,797972,5.83,4
3411,1682,Education Loan,559071,10.86,8
3412,1683,Car Loan,268031,14.97,27
3413,1683,Education Loan,1225811,11.07,19
3414,1684,Business Loan,1875347,14.25,13
3415,1684,Personal Loan,1311777,6.08,27
3416,1684,Personal Loan,1257174,5.95,25
3417,1685,Business Loan,1460564,12.09,20
3418,1685,Education Loan,1759773,8.94,24
3419,1686,Education Loan,1837262,9.61,28
3420,1686,Business Loan,128173,14.4,27
3421,1687,Education Loan,1453138,14.08,7
3422,1687,Business Loan,429034,5.24,11
3423,1687,Personal Loan,662948,14.21,26
3424,1688,Education Loan,1831383,13.91,12
3425,1688,Car Loan,788991,14.74,8
3426,1688,Car Loan,985344,12.84,11
3427,1689,Car Loan,1661894,12.94,7
3428,1689,Business Loan,1666503,13.63,21
3429,1689,Car Loan,1603370,9.01,12
3430,1690,Personal Loan,749952,8.52,18
3431,1690,Home Loan,713820,13.29,4
3432,1691,Education Loan,706249,11.22,21
3433,1692,Home Loan,605075,13.56,16
3434,1692,Car Loan,756742,13.06,29
3435,1693,Home Loan,726876,5.16,7
3436,1694,Business Loan,1518485,11.42,10
3437,1694,Business Loan,1178801,6.78,20
3438,1695,Home Loan,245797,5.91,20
3439,1696,Car Loan,355692,12.16,18
3440,1696,Car Loan,882059,6.33,13
3441,1697,Car Loan,1336435,10.7,3
3442,1697,Car Loan,521491,9.43,2
3443,1697,Home Loan,1199212,6.55,9
3444,1698,Home Loan,1797447,11.95,8
3445,1698,Home Loan,1885293,7.26,21
3446,1699,Personal Loan,672420,7.44,1
3447,1700,Education Loan,919323,10.56,19
3448,1700,Home Loan,914705,6.86,17
3449,1701,Business Loan,1913537,14.02,13
3450,1701,Car Loan,1532153,12.97,12
3451,1702,Car Loan,814442,14.0,30
3452,1702,Home Loan,721413,10.4,3
3453,1703,Car Loan,1853434,13.27,23
3454,1704,Business Loan,320039,5.97,30
3455,1704,Business Loan,1535525,9.76,11
3456,1704,Personal Loan,1742933,13.26,8
3457,1705,Business Loan,1771924,14.85,15
3458,1705,Car Loan,1254308,13.37,15
3459,1706,Education Loan,1289548,9.36,6
3460,1706,Personal Loan,1224318,9.48,21
3461,1707,Education Loan,1869441,12.06,3
3462,1707,Car Loan,187180,14.55,9
3463,1708,Personal Loan,1546553,10.98,14
3464,1708,Home Loan,880988,7.15,15
3465,1709,Car Loan,743178,7.33,26
3466,1709,Business Loan,903838,6.44,18
3467,1709,Business Loan,709467,13.63,20
3468,1710,Car Loan,1281967,6.2,3
3469,1710,Business Loan,183439,10.3,24
3470,1710,Home Loan,1586281,6.95,20
3471,1711,Personal Loan,1411905,14.29,24
3472,1712,Personal Loan,247470,14.46,19
3473,1712,Education Loan,1738026,9.08,23
3474,1713,Car Loan,433757,5.96,12
3475,1714,Education Loan,1893531,7.52,3
3476,1714,Home Loan,596319,9.01,8
3477,1714,Car Loan,1407329,11.33,11
3478,1715,Business Loan,590578,5.2,20
3479,1716,Personal Loan,1481746,8.73,6
3480,1716,Personal Loan,1159647,5.13,11
3481,1716,Education Loan,692281,5.28,29
3482,1717,Car Loan,1852205,5.69,6
3483,1717,Home Loan,1384798,11.21,6
3484,1717,Business Loan,507963,14.76,4
3485,1718,Business Loan,834687,10.74,29
3486,1719,Home Loan,1113945,6.49,27
3487,1719,Education Loan,113631,11.22,30
3488,1719,Business Loan,1912760,14.58,4
3489,1720,Personal Loan,782019,11.83,19
3490,1720,Business Loan,401032,14.0,16
3491,1721,Home Loan,1335956,14.2,15
3492,1721,Business Loan,1794348,8.89,15
3493,1721,Personal Loan,1452376,10.54,11
3494,1722,Home Loan,552165,14.6,16
3495,1722,Home Loan,1715251,9.04,12
3496,1723,Business Loan,257157,13.48,3
3497,1723,Car Loan,1962323,10.27,19
3498,1724,Business Loan,876665,12.57,21
3499,1724,Home Loan,642574,8.2,15
3500,1724,Home Loan,664379,14.44,14
3501,1725,Education Loan,222782,9.9,16
3502,1725,Personal Loan,724264,10.61,20
3503,1726,Education Loan,1699116,12.71,25
3504,1726,Personal Loan,1156352,13.31,7
3505,1727,Business Loan,1618358,14.0,18
3506,1727,Home Loan,1394132,8.14,2
3507,1728,Personal Loan,685323,8.85,12
3508,1729,Education Loan,1598830,10.08,28
3509,1730,Car Loan,1478440,11.99,30
3510,1730,Home Loan,256885,9.57,6
3511,1730,Home Loan,1544033,8.2,23
3512,1731,Home Loan,1247778,11.4,1
3513,1731,Personal Loan,1983755,8.81,29
3514,1732,Car Loan,59937,14.04,22
3515,1733,Education Loan,1783447,7.28,30
3516,1734,Home Loan,347102,10.99,20
3517,1735,Education Loan,1476893,10.71,28
3518,1735,Car Loan,479656,14.4,21
3519,1736,Education Loan,1497624,5.1,27
3520,1736,Education Loan,840902,7.78,29
3521,1737,Car Loan,1308563,5.1,23
3522,1737,Education Loan,137659,11.96,15
3523,1738,Home Loan,197900,11.38,4
3524,1738,Home Loan,1942086,12.91,3
3525,1738,Home Loan,1176044,8.27,24
3526,1739,Education Loan,647283,10.36,10
3527,1739,Business Loan,598403,6.08,4
3528,1739,Education Loan,1775699,13.86,7
3529,1740,Education Loan,471083,6.27,2
3530,1740,Education Loan,1054157,6.09,8
3531,1740,Personal Loan,1797126,8.88,3
3532,1741,Home Loan,964250,11.15,15
3533,1742,Education Loan,1302002,12.69,22
3534,1743,Home Loan,1570246,8.18,19
3535,1744,Car Loan,1852476,14.5,30
3536,1745,Education Loan,470792,14.02,2
3537,1745,Education Loan,846989,6.53,10
3538,1746,Home Loan,435798,11.27,11
3539,1747,Education Loan,103078,13.71,3
3540,1747,Home Loan,1311772,10.29,18
3541,1747,Home Loan,350654,10.47,11
3542,1748,Personal Loan,909673,10.18,1
3543,1749,Home Loan,1568504,14.33,12
3544,1749,Personal Loan,350912,14.02,22
3545,1749,Home Loan,62376,8.81,19
3546,1750,Business Loan,300907,13.57,25
3547,1750,Personal Loan,1232036,10.46,1
3548,1751,Business Loan,1402222,8.86,22
3549,1751,Business Loan,861109,9.5,24
3550,1752,Education Loan,1334733,7.5,21
3551,1752,Education Loan,1054806,14.19,5
3552,1752,Education Loan,1175026,13.79,8
3553,1753,Home Loan,864642,14.99,29
3554,1753,Home Loan,821915,12.4,14
3555,1754,Personal Loan,1014547,9.1,29
3556,1755,Education Loan,312194,13.4,12
3557,1756,Education Loan,1903089,9.18,24
3558,1756,Education Loan,980910,14.52,15
3559,1757,Car Loan,1445389,8.99,24
3560,1757,Business Loan,481835,7.46,23
3561,1758,Home Loan,1882084,12.29,26
3562,1758,Business Loan,812136,14.0,18
3563,1758,Education Loan,836047,11.44,7
3564,1759,Education Loan,277855,10.43,15
3565,1760,Education Loan,156715,6.99,11
3566,1760,Business Loan,1916307,6.57,13
3567,1760,Business Loan,955516,6.8,15
3568,1761,Home Loan,859439,10.67,6
3569,1761,Car Loan,1614416,11.81,25
3570,1761,Home Loan,1394773,9.02,26
3571,1762,Education Loan,713729,9.69,28
3572,1763,Education Loan,713150,11.1,25
3573,1764,Personal Loan,1468071,5.97,3
3574,1764,Personal Loan,95017,5.09,28
3575,1764,Personal Loan,745223,13.53,11
3576,1765,Home Loan,496718,8.08,3
3577,1766,Car Loan,1273580,14.05,15
3578,1766,Education Loan,760139,12.04,10
3579,1766,Car Loan,262859,13.02,6
3580,1767,Education Loan,298387,10.32,20
3581,1768,Business Loan,1208301,11.29,23
3582,1769,Home Loan,287734,11.64,5
3583,1769,Education Loan,253568,12.56,5
3584,1769,Education Loan,1041560,8.79,6
